PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2019-01-01,ANTIOQUIA,Estrato 2,No,Estrato 2 - No,226.48386336866903,8490
2019-01-01,ANTIOQUIA,Estrato 2,Si,Estrato 2 - Si,246.3957216521162,19587
2019-01-01,ANTIOQUIA,Estrato 3,No,Estrato 3 - No,228.4689172498971,2429
2019-01-01,ANTIOQUIA,Estrato 3,Si,Estrato 3 - Si,261.77137444233944,16363
2019-01-01,ANTIOQUIA,Sin Estrato,No,Sin Estrato - No,199.31105710814094,823
2019-01-01,ANTIOQUIA,Sin Estrato,Si,Sin Estrato - Si,218.91525423728814,413
2019-01-01,ARAUCA,Estrato 1,No,Estrato 1 - No,238.71187868576243,1187
2019-01-01,ARAUCA,Estrato 1,Si,Estrato 1 - Si,252.23306772908367,502
2019-01-01,ARAUCA,Estrato 2,No,Estrato 2 - No,236.681592039801,402
2019-01-01,ARAUCA,Estrato 2,Si,Estrato 2 - Si,258.706572769953,426
2019-01-01,ARAUCA,Estrato 3,No,Estrato 3 - No,229.05882352941177,119
2019-01-01,ARAUCA,Estrato 3,Si,Estrato 3 - Si,252.08988764044943,178
2019-01-01,ARAUCA,Sin Estrato,No,Sin Estrato - No,225.46938775510205,196
2019-01-01,ARAUCA,Sin Estrato,Si,Sin Estrato - Si,218.22222222222223,45
2019-01-01,ATLANTICO,Estrato 1,No,Estrato 1 - No,229.96511114382452,6793
2019-01-01,ATLANTICO,Estrato 1,Si,Estrato 1 - Si,246.15470941883768,4990
2019-01-01,ATLANTICO,Estrato 2,No,Estrato 2 - No,230.73964110929853,3065
2019-01-01,ATLANTICO,Estrato 2,Si,Estrato 2 - Si,254.72181596587447,6564
2019-01-01,ATLANTICO,Estrato 3,No,Estrato 3 - No,220.10408560311285,1028
2019-01-01,ATLANTICO,Estrato 3,Si,Estrato 3 - Si,261.6839401384856,4477
2019-01-01,ATLANTICO,Sin Estrato,No,Sin Estrato - No,201.4251592356688,628
2019-01-01,ATLANTICO,Sin Estrato,Si,Sin Estrato - Si,210.79182156133828,269
2019-01-01,BOGOTA,Estrato 1,No,Estrato 1 - No,232.40117328519855,2216
2019-01-01,BOGOTA,Estrato 1,Si,Estrato 1 - Si,247.1979768786127,5536
2019-01-01,BOGOTA,Estrato 2,No,Estrato 2 - No,245.304865938431,5035
2019-01-01,BOGOTA,Estrato 2,Si,Estrato 2 - Si,260.388795500097,30934
